instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_FO|45510,45510,NIFTY2631024550PE,NIFTY,538.85,2026-03-10,24550.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45526,45526,NIFTY2631024800PE,NIFTY,755.85,2026-03-10,24800.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45527,45527,NIFTY2631024850CE,NIFTY,11.1,2026-03-10,24850.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45522,45522,NIFTY2631024800CE,NIFTY,12.65,2026-03-10,24800.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45531,45531,NIFTY2631024850PE,NIFTY,809.2,2026-03-10,24850.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45532,45532,NIFTY2631024900CE,NIFTY,9.5,2026-03-10,24900.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45515,45515,NIFTY2631024650CE,NIFTY,21.65,2026-03-10,24650.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45516,45516,NIFTY2631024650PE,NIFTY,621.85,2026-03-10,24650.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45517,45517,NIFTY2631024700CE,NIFTY,17.65,2026-03-10,24700.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45518,45518,NIFTY2631024700PE,NIFTY,662.3,2026-03-10,24700.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45513,45513,NIFTY2631024600CE,NIFTY,26.1,2026-03-10,24600.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45514,45514,NIFTY2631024600PE,NIFTY,574.0,2026-03-10,24600.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|45519,45519,NIFTY2631024750CE,NIFTY,15.25,2026-03-10,24750.0,0.05,65.0,OPTIDX,CE,NSE_FO
NSE_FO|45520,45520,NIFTY2631024750PE,NIFTY,715.9,2026-03-10,24750.0,0.05,65.0,OPTIDX,PE,NSE_FO
NSE_FO|70588,70588,MIDCPNIFTY26MAY12800PE,MIDCPNIFTY,225.4,2026-05-26,12800.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70587,70587,MIDCPNIFTY26MAY12800CE,MIDCPNIFTY,1084.8,2026-05-26,12800.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70548,70548,MIDCPNIFTY26MAY12750CE,MIDCPNIFTY,1120.35,2026-05-26,12750.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70549,70549,MIDCPNIFTY26MAY12750PE,MIDCPNIFTY,211.75,2026-05-26,12750.0,0.05,120.0,OPTIDX,PE,NSE_FO
NSE_FO|70544,70544,MIDCPNIFTY26MAY12725CE,MIDCPNIFTY,1138.35,2026-05-26,12725.0,0.05,120.0,OPTIDX,CE,NSE_FO
NSE_FO|70545,70545,MIDCPNIFTY26MAY12725PE,MIDCPNIFTY,205.2,2026-05-26,12725.0,0.05,120.0,OPTIDX,PE,NSE_FO
